nbr_traits;class;model;states;correlation;uncorr_traits;fraction_uncorr_traits;lambda;kappa;highCor;manTrait
1;non_eq_nominal;ARD;3;0;1;0;1;0;0;0
6;non_eq_nominal;ARD;3;1;6;0;1;1;0;0
1;continuous;BM1;1;3;1;0;1;1;0;0
5;continuous;BM1;1;4;5;0;1;1;0;0
